time_step,time_hours,time_seconds,S,D,P,N,R,I
0,0,1,494,0,0,0,0,0
1,1,3600,454,2,4,19,0,15
2,2,7200,412,2,7,38,0,35
3,3,10800,373,1,15,54,0,51
4,4,14400,335,3,17,71,0,68
5,5,18000,304,3,23,82,0,82
6,6,21600,270,4,25,102,0,93
7,7,25200,240,6,31,114,0,103
8,8,28800,215,6,35,127,0,111
9,9,32400,201,6,38,132,0,117
10,10,36000,183,5,43,140,0,123
11,11,39600,165,5,48,147,0,129
12,12,43200,142,6,52,150,0,144
13,13,46800,126,7,52,141,21,147
14,14,50400,118,7,49,131,40,149
15,15,54000,110,8,41,119,65,151
16,16,57600,100,6,43,104,85,156
17,17,61200,87,7,38,97,101,164
18,18,64800,81,7,37,78,123,168
19,19,68400,74,4,32,67,144,173
20,20,72000,66,4,28,61,161,174
21,21,75600,57,7,26,58,170,176
22,22,79200,47,7,21,56,182,181
23,23,82800,43,8,18,49,193,183
24,24,86400,38,6,14,45,205,186
25,25,90000,33,7,10,42,216,186
26,26,93600,27,7,12,35,222,191
27,27,97200,23,6,11,37,226,191
28,28,100800,21,6,8,35,233,191
29,29,104400,18,6,9,31,238,192
30,30,108000,17,6,7,32,240,192
31,31,111600,16,6,7,30,243,192
32,32,115200,16,6,7,24,249,192
33,33,118800,11,4,8,22,256,193
34,34,122400,11,4,8,16,261,194
35,35,126000,9,3,9,14,264,195
36,36,129600,9,3,9,11,267,195
37,37,133200,8,1,9,9,271,196
38,38,136800,7,1,7,9,274,196
39,39,140400,7,1,7,6,277,196
40,40,144000,7,1,6,5,279,196
41,41,147600,7,1,5,4,281,196
42,42,151200,6,1,6,3,282,196
43,43,154800,5,1,5,4,283,196
44,44,158400,4,1,5,4,283,197
45,45,162000,3,0,4,3,287,197
46,46,165600,3,0,4,3,287,197
47,47,169200,3,0,3,3,288,197
48,48,172800,3,0,3,3,288,197
49,49,176400,2,0,3,2,290,197
50,50,180000,2,0,3,1,291,197
51,51,183600,2,0,3,1,291,197
52,52,187200,2,0,2,2,291,197
53,53,190800,1,0,2,2,291,198
54,54,194400,1,0,1,2,292,198
55,55,198000,1,0,1,1,293,198
56,56,201600,1,0,1,1,293,198
57,57,205200,1,0,1,1,293,198
58,58,208800,0,0,1,2,293,198
59,59,212400,0,0,1,2,293,198
60,60,216000,0,0,1,2,293,198
61,61,219600,0,0,0,2,294,198
62,62,223200,0,0,0,2,294,198
63,63,226800,0,0,0,2,294,198
64,64,230400,0,0,0,1,295,198
65,65,234000,0,0,0,1,295,198
66,66,237600,0,0,0,1,295,198
67,67,241200,0,0,0,1,295,198
68,68,244800,0,0,0,1,295,198
69,69,248400,0,0,0,1,295,198
70,70,252000,0,0,0,0,296,198
71,71,255600,0,0,0,0,296,198
72,72,259200,0,0,0,0,296,198
73,73,262800,0,0,0,0,296,198
74,74,266400,0,0,0,0,296,198
75,75,270000,0,0,0,0,296,198
76,76,273600,0,0,0,0,296,198
77,77,277200,0,0,0,0,296,198
78,78,280800,0,0,0,0,296,198
