b_exponent,debunker_rate,debunker_pct_label,avg_peak_attack_pct,R0
0.0,0.01,1.0%,47.63,0.603
0.0,0.023,2.3%,43.91,0.529
0.0,0.03836,3.8%,40.62,0.462
0.0,0.05,5.0%,39.27,0.422
0.0,0.1,10.0%,30.67,0.307
0.0,0.15,15.0%,25.21,0.241
0.0,0.2,20.0%,21.32,0.198
0.0,0.25,25.0%,17.97,0.169
0.0,0.3,30.0%,15.31,0.147
0.5,0.01,1.0%,54.85,0.762
0.5,0.023,2.3%,50.86,0.669
0.5,0.03836,3.8%,47.82,0.585
0.5,0.05,5.0%,45.87,0.534
0.5,0.1,10.0%,36.97,0.388
0.5,0.15,15.0%,30.27,0.305
0.5,0.2,20.0%,24.72,0.251
0.5,0.25,25.0%,21.77,0.213
0.5,0.3,30.0%,18.57,0.186
1.0,0.01,1.0%,63.66,0.964
1.0,0.023,2.3%,59.98,0.846
1.0,0.03836,3.8%,56.29,0.739
1.0,0.05,5.0%,53.34,0.675
1.0,0.1,10.0%,42.98,0.491
1.0,0.15,15.0%,35.83,0.386
1.0,0.2,20.0%,30.5,0.318
1.0,0.25,25.0%,25.77,0.27
1.0,0.3,30.0%,21.73,0.235
2.0,0.01,1.0%,79.28,1.543
2.0,0.023,2.3%,75.22,1.354
2.0,0.03836,3.8%,71.04,1.183
2.0,0.05,5.0%,66.79,1.08
2.0,0.1,10.0%,55.55,0.785
2.0,0.15,15.0%,47.28,0.617
2.0,0.2,20.0%,40.93,0.508
2.0,0.25,25.0%,35.36,0.432
2.0,0.3,30.0%,32.31,0.376
