hour,S,D,P,N,I,R
0,62,7,9,18,4,0
1,43,9,20,24,4,0
2,19,12,26,38,5,0
3,14,12,30,39,5,0
4,11,12,31,41,5,0
5,4,13,34,44,5,0
6,2,13,35,45,5,0
7,0,13,35,47,5,0
8,0,13,35,47,5,0
9,0,13,35,47,5,0
10,0,13,35,47,5,0
11,0,13,35,47,5,0
12,0,6,26,29,5,34
13,0,4,15,23,5,53
14,0,1,9,9,5,76
15,0,1,5,8,5,81
16,0,1,4,6,5,84
17,0,0,1,3,5,91
18,0,0,0,2,5,93
19,0,0,0,0,5,95
20,0,0,0,0,5,95
21,0,0,0,0,5,95
22,0,0,0,0,5,95
23,0,0,0,0,5,95
24,0,0,0,0,5,95
25,0,0,0,0,5,95
26,0,0,0,0,5,95
27,0,0,0,0,5,95
28,0,0,0,0,5,95
29,0,0,0,0,5,95
30,0,0,0,0,5,95
31,0,0,0,0,5,95
32,0,0,0,0,5,95
33,0,0,0,0,5,95
34,0,0,0,0,5,95
35,0,0,0,0,5,95
36,0,0,0,0,5,95
37,0,0,0,0,5,95
38,0,0,0,0,5,95
39,0,0,0,0,5,95
40,0,0,0,0,5,95
41,0,0,0,0,5,95
42,0,0,0,0,5,95
43,0,0,0,0,5,95
44,0,0,0,0,5,95
45,0,0,0,0,5,95
46,0,0,0,0,5,95
47,0,0,0,0,5,95
48,0,0,0,0,5,95
49,0,0,0,0,5,95
50,0,0,0,0,5,95
51,0,0,0,0,5,95
52,0,0,0,0,5,95
53,0,0,0,0,5,95
54,0,0,0,0,5,95
55,0,0,0,0,5,95
56,0,0,0,0,5,95
57,0,0,0,0,5,95
58,0,0,0,0,5,95
59,0,0,0,0,5,95
60,0,0,0,0,5,95
61,0,0,0,0,5,95
62,0,0,0,0,5,95
63,0,0,0,0,5,95
64,0,0,0,0,5,95
65,0,0,0,0,5,95
66,0,0,0,0,5,95
67,0,0,0,0,5,95
68,0,0,0,0,5,95
69,0,0,0,0,5,95
70,0,0,0,0,5,95
71,0,0,0,0,5,95
